bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H26001,InscriptionSentence,0,出二,貞于晦御,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H26002,InscriptionSentence,0,出二,己未释未释未释貞其御,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H26002,InscriptionSentence,1,出二,未释晦御未释未释月,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H26003,InscriptionSentence,1,出二,未释未释卜旅未释翌丁亥先祭待未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H26004,InscriptionSentence,0,出二,癸丑卜旅貞翌甲寅气𫹉祭自未释卒至未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H26006,InscriptionSentence,0,出二,未释未释未释祭亡祸,ritual,"{""verb_type"": ""strong"", ""verbs"": [""祭""], ""target_type"": ""other""}"
H26020,InscriptionSentence,0,出二,甲子卜行貞其宜于庚升,ritual,"{""verb_type"": ""weak"", ""verbs"": [""宜""], ""target_type"": ""other""}"
H26021,InscriptionSentence,1,出二,未释宜未释九月,ritual,"{""verb_type"": ""weak"", ""verbs"": [""宜""], ""target_type"": ""other""}"
H26022,InscriptionSentence,0,出二,貞未释佑,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H26034,InscriptionSentence,0,出二,癸未释未释大未释未释佑未释人未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H26034,InscriptionSentence,1,出二,未释未释卜未释未释未释𠯑未释佑鬯未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""鬯""], ""target_type"": ""other""}"
H26040,InscriptionSentence,2,出一,未释雨,rain,"{""keyword"": ""雨""}"
H26048,InscriptionSentence,1,賓出,未释雨,rain,"{""keyword"": ""雨""}"
H26052,InscriptionSentence,0,出二,貞大乙未释,ritual,"{""verb_type"": ""none"", ""target_type"": ""ancestor"", ""targets"": [""大乙""]}"
H26089,InscriptionSentence,0,出二,未释未释南未释未释若,spatial,"{""directions"": [""南""]}"
H26090,InscriptionSentence,0,未分期,貞隹王帝匕佑不若,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""nature"", ""targets"": [""帝""]}"
H26092,InscriptionSentence,0,出二,丁亥卜疑貞今日隹徝佑不若,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H26098,InscriptionSentence,0,出一,庚戌卜中貞卜㞢求,spatial,"{""directions"": [""中""]}"
H29700,InscriptionSentence,3,無名,叀己佑日茲用,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H29705,InscriptionSentence,0,無名,即日甲𫹉王受佑未释,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H29713,InscriptionSentence,3,無名,于入自日西殺,spatial,"{""directions"": [""西""]}"
H29723,InscriptionSentence,0,事何,叀七夕𫹉佑雨弜至乙,rain,"{""keyword"": ""雨""}"
H29723,InscriptionSentence,0,事何,叀七夕𫹉佑雨弜至乙,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
